Timestamp,State of Residence,LGA,Town,Accommodation Type,Type of Apartment,Cost of Apartment,One Room,Two Rooms,Self Contain,One Bedroom Flat,Two Bedroom Flat,Three Bedroom Flat,Four Bedroom Flat,Five Bedroom Flat,One Bedroom Duplex,Two Bedroom Duplex,Three Bedroom Duplex,Four Bedroom Duplex,Five Bedroom Duplex
3/22/2024,Rivers,Ikwerre,Aluu,Rented,One Bedroom Flat,200000,80000,160000,100000,200000,350000,500000,700000,900000,180000,320000,400000,600000,750000
3/22/2024,Rivers,Obio/Akpor,Rumuagholu,Rented,Self Contain,150000,70000,130000,150000,200000,300000,500000,700000,960000,1000000,1500000,2000000,2500000,3000000
3/22/2024,Rivers,Obio/Akpor,Rumuosi,Rented,One Bedroom Flat,300000,120000,240000,240000,300000,450000,600000,750000,900000,600000,900000,1800000,150000,1800000
3/22/2024,Rivers,Obio/Akpor,Rumuigbo,Rented,One Bedroom Flat,400000,90000,180000,250000,400000,500000,650000,750000,850000,1000000,1200000,1400000,1600000,1800000
3/22/2024,Rivers,Obio/Akpor,Rumuagholu,Owned,One Room,96000,180000,200000,250000,350000,700000,1500000,2000000,2500000,3000000,3500000,4000000,4500000,5000000
3/22/2024,Rivers,Obio/Akpor,Woji,Rented,Two Bedroom Flat,700000,80000,120000,350000,450000,600000,1200000,800000,1000000,1000000,1200000,1500000,2000000,2500000
3/22/2024,Rivers,Obio/Akpor,Woji,Rented,Two Bedroom Flat,500000,100000,160000,300000,400000,500000,800000,1000000,1200000,800000,1000000,1200000,1500000,2000000
3/22/2024,Rivers,Obio/Akpor,Rumuepirikom,Rented,One Room,80000,100000,200000,300000,450000,900000,1000000,12000000,3000000,4000000,5000000,6000000,7000000,8000000
3/22/2024,Rivers,Obio/Akpor,Choba,Owned,Four Bedroom Flat,900000,66000,130000,150000,250000,400000,600000,800000,1200000,1600000,2000000,2500000,3000000,5000000
3/22/2024,Rivers,Obio/Akpor,Egbelu,Owned,Three Bedroom Flat,900000,60000,120000,200000,280000,350000,450000,600000,700000,1000000,1500000,2000000,2500000,3000000
3/22/2024,Rivers,Obio/Akpor,Rumunduru,Rented,One Room,84000,84000,160000,300000,450000,600000,750000,800000,900000,600000,800000,1000000,1200000,1500000
3/22/2024,Rivers,Oyigbo,Obigbo,Rented,One Bedroom Flat,220000,54000,110000,140000,250000,300000,350000,450000,600000,800000,1000000,1250000,1350000,1500000
3/22/2024,Rivers,Obio/Akpor,Mgbuoba,Rented,Self Contain,350000,100000,200000,450000,500000,700000,1000000,1300000,1600000,1600000,2300000,5600000,7700000,9900000
3/22/2024,Rivers,Obio/Akpor,Choba,Rented,Self Contain,250000,100000,200000,250000,500000,750000,1000000,1500000,3000000,1000000,1500000,2000000,2400000,3500000
3/22/2024,Rivers,Obio/Akpor,Rumuokwurusi,Rented,Self Contain,200000,80000,160000,200000,350000,700000,1400000,1900000,2200000,1800000,2200000,3100000,4000000,4300000
3/22/2024,Rivers,Obio/Akpor,Rumudara,Rented,Self Contain,250000,80000,150000,250000,350000,600000,850000,1400000,1700000,1600000,3000000,3500000,4000000,5000000
3/23/2024,Rivers,Obio/Akpor,Rumuigbo,Rented,Two Bedroom Flat,650000,100000,1600000,350000,500000,750000,900000,1200000,1500000,800000,1500000,1800000,2000000,2500000
3/23/2024,Rivers,Obio/Akpor,Rumuagholu,Owned,Three Bedroom Flat,600000,100000,200000,250000,350000,500000,650000,750000,850000,800000,1000000,1300000,1400000,1800000
